encoding,model,seed,n_features,noise_sigma,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,seconds
raw,LR,0,16,0.2,0.34600000000000003,0.021949436844205764,0.3375699554638997,0.022533636465023082,0.09530401229858398
raw,LR,1,16,0.2,0.348,0.010718623460542339,0.3407288511310139,0.010735974657368454,0.09688377380371094
raw,LR,2,16,0.2,0.3390000000000001,0.016076207402383323,0.331955038932436,0.017211687020288073,0.10113143920898438
angle,LR,0,16,0.2,0.2843333333333334,0.012138094304022079,0.2695961187155655,0.00854055968174084,0.11562752723693848
angle,LR,1,16,0.2,0.2803333333333334,0.011990737165736638,0.2676125245584551,0.01243560679323934,0.1177525520324707
angle,LR,2,16,0.2,0.30966666666666665,0.018601075237738265,0.29368404143879623,0.018992378060341243,0.12237405776977539
amplitude,LR,0,4,0.2,0.3663333333333334,0.012970050972229146,0.3536342615264595,0.012144425075980233,0.10821342468261719
amplitude,LR,1,4,0.2,0.3713333333333333,0.011421227799341198,0.3561855423387813,0.010683114578369396,0.10552072525024414
amplitude,LR,2,4,0.2,0.3696666666666667,0.023151673805580444,0.35525744959571093,0.021430866242689032,0.10187149047851562
raw,KAN,0,16,0.2,0.3093333333333333,0.022100779272334364,0.3034350530183813,0.021518220148106542,3.525083541870117
raw,KAN,1,16,0.2,0.32166666666666666,0.018618986725025242,0.31719800831030176,0.019395608237611474,3.0456554889678955
raw,KAN,2,16,0.2,0.31733333333333336,0.012719189352225942,0.3129433226054862,0.012605651031684791,3.195708990097046
angle,KAN,0,16,0.2,0.26166666666666666,0.025451478891761435,0.2510199758336532,0.026286120863148178,3.419828414916992
angle,KAN,1,16,0.2,0.288,0.004642796092394719,0.2777215363376596,0.006323665486673833,3.171694278717041
angle,KAN,2,16,0.2,0.29433333333333334,0.016586473739499622,0.28398962440216147,0.016366320008885143,3.3777966499328613
amplitude,KAN,0,4,0.2,0.36466666666666664,0.006782329983125262,0.3612529356034521,0.007461727732089324,1.995842695236206
amplitude,KAN,1,4,0.2,0.374,0.01424390707948099,0.3710267757935311,0.014622227166837044,1.7118008136749268
amplitude,KAN,2,4,0.2,0.37466666666666665,0.015326085243430196,0.37004070473217776,0.015073720122815451,1.7827727794647217
raw,SVM,0,16,0.2,0.33299999999999996,0.02499777767900356,0.32790200425355825,0.025046354969909992,1.6767563819885254
raw,SVM,1,16,0.2,0.33666666666666667,0.01699673171197595,0.33027929403145967,0.017811307557098945,1.6154885292053223
raw,SVM,2,16,0.2,0.33566666666666667,0.018427033281447014,0.32940885750091525,0.0205012765859688,1.7061445713043213
angle,SVM,0,16,0.2,0.28900000000000003,0.016418147141366343,0.2754562690142106,0.015083908529489385,1.5732173919677734
angle,SVM,1,16,0.2,0.28733333333333333,0.016384274303259328,0.2751705984771641,0.016184130576555777,1.6786136627197266
angle,SVM,2,16,0.2,0.29833333333333334,0.009006170724070877,0.28378296109489876,0.009642175087660744,1.6105730533599854
amplitude,SVM,0,4,0.2,0.377,0.010349449797506691,0.37307549790903016,0.010472029551726263,1.1761603355407715
amplitude,SVM,1,4,0.2,0.383,0.0079860990338073,0.37755559367323716,0.00715194856378062,1.1433119773864746
amplitude,SVM,2,4,0.2,0.37133333333333335,0.020907202374088954,0.36525140712248316,0.023840946046884862,1.166698694229126
raw,MLP,0,16,0.2,0.3263333333333333,0.02589294198125128,0.3162885989102685,0.02638511428674271,1.2807137966156006
raw,MLP,1,16,0.2,0.30866666666666664,0.023271346234276086,0.2932425752159813,0.021781935440322094,1.002901554107666
raw,MLP,2,16,0.2,0.29700000000000004,0.027956315128349007,0.2800384339429692,0.033976323797926755,1.1147732734680176
angle,MLP,0,16,0.2,0.273,0.02196967607104544,0.2522438391679593,0.02174910236328214,1.3587582111358643
angle,MLP,1,16,0.2,0.2693333333333333,0.003091206165165246,0.25201058780822905,0.002871736234709974,1.3668160438537598
angle,MLP,2,16,0.2,0.281,0.012587471725666136,0.25905187795520834,0.01327536180043522,1.2923755645751953
amplitude,MLP,0,4,0.2,0.35600000000000004,0.022622506001276195,0.33631782791021597,0.0289171639671588,1.131077766418457
amplitude,MLP,1,4,0.2,0.3656666666666667,0.01959591794226542,0.347270932709521,0.024795466823597876,1.2228786945343018
amplitude,MLP,2,4,0.2,0.374,0.02405087201006325,0.35776215359900354,0.023695586311943444,1.2036001682281494
